Tree	Node A-form	Node B-form	Node C-form	Node D-form	Node E-form	Node F-form	Node G-form	Node H-form	Node I-form	Node J-form	Node K-form	Node L-form	Node M-form	Node N-form	Node O-form	Node P-form	Node Q-form	Node R-form	Node S-form	Node T-form	Node U-form	Node V-form	Node W-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node	MI	MI3	Dice	logDice	t-score	simple-LL
(a <det bit) <obl:unmarked more <advmod closely	a	bit	more	closely																				1	4.7	ABCD	"pattern {D [form=""closely""]; B [form=""bit""]; A [form=""a""]; C [form=""more""]; D -[obl:unmarked]-> B; B -[det]-> A; D -[advmod]-> C; D >> B; B >> A; D >> C} without {D -> X0} without {B -> X1} without {A -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BD%20%5Bform%3D%22closely%22%5D%3B%20B%20%5Bform%3D%22bit%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20C%20%5Bform%3D%22more%22%5D%3B%20D%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20D%20-%5Badvmod%5D-%3E%20C%3B%20D%20%3E%3E%20B%3B%20B%20%3E%3E%20A%3B%20D%20%3E%3E%20C%7D%20without%20%7BD%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	closely	23.54	23.54	0.00	4.01	1.00	12.17
(a <det bit) <obl:unmarked more >fixed than	a	bit	more	than																				1	4.7	ABCD	"pattern {C [form=""more""]; B [form=""bit""]; A [form=""a""]; D [form=""than""]; C -[obl:unmarked]-> B; B -[det]-> A; C -[fixed]-> D; C >> B; B >> A; C << D} without {C -> X0} without {B -> X1} without {A -> X2} without {D -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22more%22%5D%3B%20B%20%5Bform%3D%22bit%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20D%20%5Bform%3D%22than%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Bfixed%5D-%3E%20D%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%3B%20C%20%3C%3C%20D%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BD%20-%3E%20X3%7D	4	more	19.16	19.16	0.00	3.94	1.00	9.53
(a <det couple >nmod (of <case weeks)) <obl:unmarked ago	a	couple	of	weeks	ago																			1	4.7	ABCDE	"pattern {E [form=""ago""]; B [form=""couple""]; A [form=""a""]; D [form=""weeks""]; C [form=""of""]; E -[obl:unmarked]-> B; B -[det]-> A; B -[nmod]-> D; D -[case]-> C; E >> B; B >> A; B << D; D >> C} without {E -> X0} without {B -> X1} without {A -> X2} without {D -> X3} without {C -> X4}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BE%20%5Bform%3D%22ago%22%5D%3B%20B%20%5Bform%3D%22couple%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20D%20%5Bform%3D%22weeks%22%5D%3B%20C%20%5Bform%3D%22of%22%5D%3B%20E%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20B%20-%5Bnmod%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20C%3B%20E%20%3E%3E%20B%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20D%3B%20D%20%3E%3E%20C%7D%20without%20%7BE%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BD%20-%3E%20X3%7D%20without%20%7BC%20-%3E%20X4%7D	5	ago	31.65	31.65	0.00	3.18	1.00	17.05
(a <det couple >nmod (of <case weeks)) <obl:unmarked later	a	couple	of	weeks	later																			1	4.7	ABCDE	"pattern {E [form=""later""]; B [form=""couple""]; A [form=""a""]; D [form=""weeks""]; C [form=""of""]; E -[obl:unmarked]-> B; B -[det]-> A; B -[nmod]-> D; D -[case]-> C; E >> B; B >> A; B << D; D >> C} without {E -> X0} without {B -> X1} without {A -> X2} without {D -> X3} without {C -> X4}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BE%20%5Bform%3D%22later%22%5D%3B%20B%20%5Bform%3D%22couple%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20D%20%5Bform%3D%22weeks%22%5D%3B%20C%20%5Bform%3D%22of%22%5D%3B%20E%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20B%20-%5Bnmod%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20C%3B%20E%20%3E%3E%20B%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20D%3B%20D%20%3E%3E%20C%7D%20without%20%7BE%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BD%20-%3E%20X3%7D%20without%20%7BC%20-%3E%20X4%7D	5	later	31.32	31.32	0.00	3.18	1.00	16.85
(a <det couple >nmod (of <case years)) <obl:unmarked back	a	couple	of	years	back																			1	4.7	ABCDE	"pattern {E [form=""back""]; B [form=""couple""]; A [form=""a""]; D [form=""years""]; C [form=""of""]; E -[obl:unmarked]-> B; B -[det]-> A; B -[nmod]-> D; D -[case]-> C; E >> B; B >> A; B << D; D >> C} without {E -> X0} without {B -> X1} without {A -> X2} without {D -> X3} without {C -> X4}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BE%20%5Bform%3D%22back%22%5D%3B%20B%20%5Bform%3D%22couple%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20D%20%5Bform%3D%22years%22%5D%3B%20C%20%5Bform%3D%22of%22%5D%3B%20E%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20B%20-%5Bnmod%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20C%3B%20E%20%3E%3E%20B%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20D%3B%20D%20%3E%3E%20C%7D%20without%20%7BE%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BD%20-%3E%20X3%7D%20without%20%7BC%20-%3E%20X4%7D	5	back	27.23	27.23	0.00	3.14	1.00	14.40
(a <det fair <amod bit) <obl:unmarked away >obl (from <case land)	a	fair	bit	away	from	land																		1	4.7	ABCDEF	"pattern {D [form=""away""]; C [form=""bit""]; A [form=""a""]; B [form=""fair""]; F [form=""land""]; E [form=""from""]; D -[obl:unmarked]-> C; C -[det]-> A; C -[amod]-> B; D -[obl]-> F; F -[case]-> E; D >> C; C >> A; C >> B; D << F; F >> E} without {D -> X0} without {C -> X1} without {A -> X2} without {B -> X3} without {F -> X4} without {E -> X5}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BD%20%5Bform%3D%22away%22%5D%3B%20C%20%5Bform%3D%22bit%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20B%20%5Bform%3D%22fair%22%5D%3B%20F%20%5Bform%3D%22land%22%5D%3B%20E%20%5Bform%3D%22from%22%5D%3B%20D%20-%5Bobl%3Aunmarked%5D-%3E%20C%3B%20C%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20D%20-%5Bobl%5D-%3E%20F%3B%20F%20-%5Bcase%5D-%3E%20E%3B%20D%20%3E%3E%20C%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%3B%20D%20%3C%3C%20F%3B%20F%20%3E%3E%20E%7D%20without%20%7BD%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BB%20-%3E%20X3%7D%20without%20%7BF%20-%3E%20X4%7D%20without%20%7BE%20-%3E%20X5%7D	6	away	44.57	44.57	0.00	4.40	1.00	24.83
(a <det few <amod hours) <obl:unmarked ago	a	few	hours	ago																				1	4.7	ABCD	"pattern {D [form=""ago""]; C [form=""hours""]; A [form=""a""]; B [form=""few""]; D -[obl:unmarked]-> C; C -[det]-> A; C -[amod]-> B; D >> C; C >> A; C >> B} without {D -> X0} without {C -> X1} without {A -> X2} without {B -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BD%20%5Bform%3D%22ago%22%5D%3B%20C%20%5Bform%3D%22hours%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20B%20%5Bform%3D%22few%22%5D%3B%20D%20-%5Bobl%3Aunmarked%5D-%3E%20C%3B%20C%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20D%20%3E%3E%20C%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D%20without%20%7BD%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BB%20-%3E%20X3%7D	4	ago	23.96	23.96	0.00	4.09	1.00	12.43
(a <det few <amod minutes) <obl:unmarked later	a	few	minutes	later																				1	4.7	ABCD	"pattern {D [form=""later""]; C [form=""minutes""]; A [form=""a""]; B [form=""few""]; D -[obl:unmarked]-> C; C -[det]-> A; C -[amod]-> B; D >> C; C >> A; C >> B} without {D -> X0} without {C -> X1} without {A -> X2} without {B -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BD%20%5Bform%3D%22later%22%5D%3B%20C%20%5Bform%3D%22minutes%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20B%20%5Bform%3D%22few%22%5D%3B%20D%20-%5Bobl%3Aunmarked%5D-%3E%20C%3B%20C%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20D%20%3E%3E%20C%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D%20without%20%7BD%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BB%20-%3E%20X3%7D	4	later	23.02	23.02	0.00	4.08	1.00	11.86
(a <det few <amod moments) <obl:unmarked ago	a	few	moments	ago																				1	4.7	ABCD	"pattern {D [form=""ago""]; C [form=""moments""]; A [form=""a""]; B [form=""few""]; D -[obl:unmarked]-> C; C -[det]-> A; C -[amod]-> B; D >> C; C >> A; C >> B} without {D -> X0} without {C -> X1} without {A -> X2} without {B -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BD%20%5Bform%3D%22ago%22%5D%3B%20C%20%5Bform%3D%22moments%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20B%20%5Bform%3D%22few%22%5D%3B%20D%20-%5Bobl%3Aunmarked%5D-%3E%20C%3B%20C%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20D%20%3E%3E%20C%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D%20without%20%7BD%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BB%20-%3E%20X3%7D	4	ago	26.89	26.89	0.00	4.11	1.00	14.19
(a <det few <amod years) <obl:unmarked ago	a	few	years	ago																				1	4.7	ABCD	"pattern {D [form=""ago""]; C [form=""years""]; A [form=""a""]; B [form=""few""]; D -[obl:unmarked]-> C; C -[det]-> A; C -[amod]-> B; D >> C; C >> A; C >> B} without {D -> X0} without {C -> X1} without {A -> X2} without {B -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BD%20%5Bform%3D%22ago%22%5D%3B%20C%20%5Bform%3D%22years%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20B%20%5Bform%3D%22few%22%5D%3B%20D%20-%5Bobl%3Aunmarked%5D-%3E%20C%3B%20C%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20D%20%3E%3E%20C%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D%20without%20%7BD%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BB%20-%3E%20X3%7D	4	ago	21.95	21.95	0.00	4.05	1.00	11.22
(a <det few <amod years) <obl:unmarked earlier	a	few	years	earlier																				1	4.7	ABCD	"pattern {D [form=""earlier""]; C [form=""years""]; A [form=""a""]; B [form=""few""]; D -[obl:unmarked]-> C; C -[det]-> A; C -[amod]-> B; D >> C; C >> A; C >> B} without {D -> X0} without {C -> X1} without {A -> X2} without {B -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BD%20%5Bform%3D%22earlier%22%5D%3B%20C%20%5Bform%3D%22years%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20B%20%5Bform%3D%22few%22%5D%3B%20D%20-%5Bobl%3Aunmarked%5D-%3E%20C%3B%20C%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20D%20%3E%3E%20C%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D%20without%20%7BD%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BB%20-%3E%20X3%7D	4	earlier	22.95	22.95	0.00	4.06	1.00	11.82
(a <det great <amod deal) <obl:unmarked more	a	great	deal	more																				1	4.7	ABCD	"pattern {D [form=""more""]; C [form=""deal""]; A [form=""a""]; B [form=""great""]; D -[obl:unmarked]-> C; C -[det]-> A; C -[amod]-> B; D >> C; C >> A; C >> B} without {D -> X0} without {C -> X1} without {A -> X2} without {B -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BD%20%5Bform%3D%22more%22%5D%3B%20C%20%5Bform%3D%22deal%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20B%20%5Bform%3D%22great%22%5D%3B%20D%20-%5Bobl%3Aunmarked%5D-%3E%20C%3B%20C%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20D%20%3E%3E%20C%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D%20without%20%7BD%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BB%20-%3E%20X3%7D	4	more	22.31	22.31	0.00	4.00	1.00	11.43
(a <det little <amod bit) <obl:unmarked less	a	little	bit	less																				1	4.7	ABCD	"pattern {D [form=""less""]; C [form=""bit""]; A [form=""a""]; B [form=""little""]; D -[obl:unmarked]-> C; C -[det]-> A; C -[amod]-> B; D >> C; C >> A; C >> B} without {D -> X0} without {C -> X1} without {A -> X2} without {B -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BD%20%5Bform%3D%22less%22%5D%3B%20C%20%5Bform%3D%22bit%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20B%20%5Bform%3D%22little%22%5D%3B%20D%20-%5Bobl%3Aunmarked%5D-%3E%20C%3B%20C%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20D%20%3E%3E%20C%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D%20without%20%7BD%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BB%20-%3E%20X3%7D	4	less	22.34	22.34	0.00	4.06	1.00	11.45
(a <det little) <obl:unmarked ahead >obl (of <case me)	a	little	ahead	of	me																			1	4.7	ABCDE	"pattern {C [form=""ahead""]; B [form=""little""]; A [form=""a""]; E [form=""me""]; D [form=""of""]; C -[obl:unmarked]-> B; B -[det]-> A; C -[obl]-> E; E -[case]-> D; C >> B; B >> A; C << E; E >> D} without {C -> X0} without {B -> X1} without {A -> X2} without {E -> X3} without {D -> X4}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22ahead%22%5D%3B%20B%20%5Bform%3D%22little%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20E%20%5Bform%3D%22me%22%5D%3B%20D%20%5Bform%3D%22of%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Bobl%5D-%3E%20E%3B%20E%20-%5Bcase%5D-%3E%20D%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%3B%20C%20%3C%3C%20E%3B%20E%20%3E%3E%20D%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BE%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D	5	ahead	26.97	26.97	0.00	3.13	1.00	14.24
(a <det little) <obl:unmarked later	a	little	later																					1	4.7	ABC	"pattern {C [form=""later""]; B [form=""little""]; A [form=""a""]; C -[obl:unmarked]-> B; B -[det]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22later%22%5D%3B%20B%20%5Bform%3D%22little%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	later	10.52	10.52	0.00	3.67	1.00	4.33
(a <det little) <obl:unmarked less >fixed than	a	little	less	than																				1	4.7	ABCD	"pattern {C [form=""less""]; B [form=""little""]; A [form=""a""]; D [form=""than""]; C -[obl:unmarked]-> B; B -[det]-> A; C -[fixed]-> D; C >> B; B >> A; C << D} without {C -> X0} without {B -> X1} without {A -> X2} without {D -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22less%22%5D%3B%20B%20%5Bform%3D%22little%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20D%20%5Bform%3D%22than%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Bfixed%5D-%3E%20D%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%3B%20C%20%3C%3C%20D%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BD%20-%3E%20X3%7D	4	less	20.64	20.64	0.00	4.01	1.00	10.42
(a <det long <amod time) <obl:unmarked ago	a	long	time	ago																				1	4.7	ABCD	"pattern {D [form=""ago""]; C [form=""time""]; A [form=""a""]; B [form=""long""]; D -[obl:unmarked]-> C; C -[det]-> A; C -[amod]-> B; D >> C; C >> A; C >> B} without {D -> X0} without {C -> X1} without {A -> X2} without {B -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BD%20%5Bform%3D%22ago%22%5D%3B%20C%20%5Bform%3D%22time%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20B%20%5Bform%3D%22long%22%5D%3B%20D%20-%5Bobl%3Aunmarked%5D-%3E%20C%3B%20C%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20D%20%3E%3E%20C%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D%20without%20%7BD%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BB%20-%3E%20X3%7D	4	ago	20.50	20.50	0.00	3.99	1.00	10.34
(a <det lot) <obl:unmarked farther >advcl (than <mark you <nsubj think)	a	lot	farther	than	you	think																		1	4.7	ABCDEF	"pattern {C [form=""farther""]; B [form=""lot""]; A [form=""a""]; F [form=""think""]; D [form=""than""]; E [form=""you""]; C -[obl:unmarked]-> B; B -[det]-> A; C -[advcl]-> F; F -[mark]-> D; F -[nsubj]-> E; C >> B; B >> A; C << F; F >> D; F >> E} without {C -> X0} without {B -> X1} without {A -> X2} without {F -> X3} without {D -> X4} without {E -> X5}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22farther%22%5D%3B%20B%20%5Bform%3D%22lot%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20F%20%5Bform%3D%22think%22%5D%3B%20D%20%5Bform%3D%22than%22%5D%3B%20E%20%5Bform%3D%22you%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Badvcl%5D-%3E%20F%3B%20F%20-%5Bmark%5D-%3E%20D%3B%20F%20-%5Bnsubj%5D-%3E%20E%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%3B%20C%20%3C%3C%20F%3B%20F%20%3E%3E%20D%3B%20F%20%3E%3E%20E%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BF%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D%20without%20%7BE%20-%3E%20X5%7D	6	farther	42.88	42.88	0.00	4.07	1.00	23.82
(a <det lot) <obl:unmarked more	a	lot	more																					1	4.7	ABC	"pattern {C [form=""more""]; B [form=""lot""]; A [form=""a""]; C -[obl:unmarked]-> B; B -[det]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22more%22%5D%3B%20B%20%5Bform%3D%22lot%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	more	8.63	8.63	0.00	3.59	1.00	3.20
(a <det step) <obl:unmarked further	a	step	further																					1	4.7	ABC	"pattern {C [form=""further""]; B [form=""step""]; A [form=""a""]; C -[obl:unmarked]-> B; B -[det]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22further%22%5D%3B%20B%20%5Bform%3D%22step%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	further	13.33	13.33	0.00	3.72	1.00	6.03
(about <advmod as <advmod far >advcl (as <mark Jamie <nsubj is)) <advmod away >obl (from <case me)	about	as	far	as	Jamie	is	away	from	me															1	4.7	ABCGHIDEF	"pattern {G [form=""away""]; C [form=""far""]; A [form=""about""]; B [form=""as""]; F [form=""is""]; D [form=""as""]; E [form=""Jamie""]; I [form=""me""]; H [form=""from""]; G -[advmod]-> C; C -[advmod]-> A; C -[advmod]-> B; C -[advcl]-> F; F -[mark]-> D; F -[nsubj]-> E; G -[obl]-> I; I -[case]-> H; G >> C; C >> A; C >> B; C << F; F >> D; F >> E; G << I; I >> H} without {G -> X0} without {C -> X1} without {A -> X2} without {B -> X3} without {F -> X4} without {D -> X5} without {E -> X6} without {I -> X7} without {H -> X8}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BG%20%5Bform%3D%22away%22%5D%3B%20C%20%5Bform%3D%22far%22%5D%3B%20A%20%5Bform%3D%22about%22%5D%3B%20B%20%5Bform%3D%22as%22%5D%3B%20F%20%5Bform%3D%22is%22%5D%3B%20D%20%5Bform%3D%22as%22%5D%3B%20E%20%5Bform%3D%22Jamie%22%5D%3B%20I%20%5Bform%3D%22me%22%5D%3B%20H%20%5Bform%3D%22from%22%5D%3B%20G%20-%5Badvmod%5D-%3E%20C%3B%20C%20-%5Badvmod%5D-%3E%20A%3B%20C%20-%5Badvmod%5D-%3E%20B%3B%20C%20-%5Badvcl%5D-%3E%20F%3B%20F%20-%5Bmark%5D-%3E%20D%3B%20F%20-%5Bnsubj%5D-%3E%20E%3B%20G%20-%5Bobl%5D-%3E%20I%3B%20I%20-%5Bcase%5D-%3E%20H%3B%20G%20%3E%3E%20C%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%3B%20C%20%3C%3C%20F%3B%20F%20%3E%3E%20D%3B%20F%20%3E%3E%20E%3B%20G%20%3C%3C%20I%3B%20I%20%3E%3E%20H%7D%20without%20%7BG%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BB%20-%3E%20X3%7D%20without%20%7BF%20-%3E%20X4%7D%20without%20%7BD%20-%3E%20X5%7D%20without%20%7BE%20-%3E%20X6%7D%20without%20%7BI%20-%3E%20X7%7D%20without%20%7BH%20-%3E%20X8%7D	9	away	72.02	72.02	0.00	4.75	1.00	41.36
(all <advmod over) <advmod again	all	over	again																					1	4.7	ABC	"pattern {C [form=""again""]; B [form=""over""]; A [form=""all""]; C -[advmod]-> B; B -[advmod]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22again%22%5D%3B%20B%20%5Bform%3D%22over%22%5D%3B%20A%20%5Bform%3D%22all%22%5D%3B%20C%20-%5Badvmod%5D-%3E%20B%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	again	11.87	11.87	0.00	5.84	1.00	5.15
(all <det day) <obl:unmarked long	all	day	long																					1	4.7	ABC	"pattern {C [form=""long""]; B [form=""day""]; A [form=""all""]; C -[obl:unmarked]-> B; B -[det]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22long%22%5D%3B%20B%20%5Bform%3D%22day%22%5D%3B%20A%20%5Bform%3D%22all%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	long	12.02	12.02	0.00	5.93	1.00	5.24
